Reading in freezeout surface in CCAKE boost invariant format
u1.56108 1.1986 0.0174301
dat: -4.34682 9.67553 10.6383
u_dot_n: 4.99684
m_over_sigma: 0.00719784
Finished reading surface
Surface data read successfully.
Number of points: 136867

There are 328 mesons, 325 baryons and 325 antibaryons

Particle list read successfully.
Number of particles: 978
Sampling particles...
Progress: 0%
Progress: 0% completed
mbar: 0.919834, omega: 0.0184289, max_w: 1.01771
mbar: 0.915184, omega: 0.00147169, max_w: 1.00061
Progress: 4.99974%
Progress: 4.99974% completed
mbar: 0.926396, omega: 0.0162309, max_w: 1.01547
mbar: 0.923386, omega: 0.0554285, max_w: 1.05607
mbar: 0.921916, omega: 0.000873367, max_w: 0.999999
mbar: 0.921935, omega: 0.00460176, max_w: 1.00373
mbar: 0.917034, omega: 0.00861651, max_w: 1.00778
mbar: 0.922295, omega: 0.0410981, max_w: 1.04104
mbar: 0.924378, omega: 0.0243746, max_w: 1.02377
mbar: 0.91928, omega: 0.0308939, max_w: 1.03048
mbar: 0.918833, omega: 0.00130781, max_w: 1.00044
mbar: 0.923656, omega: 0.000832126, max_w: 0.999954
mbar: 0.922306, omega: 0.00782885, max_w: 1.00698
mbar: 0.922489, omega: 0.0011027, max_w: 1.00023
mbar: 0.919081, omega: 0.00205385, max_w: 1.00119
mbar: 0.919204, omega: 0.0278331, max_w: 1.02733
Progress: 9.99949%
Progress: 9.99949% completed
mbar: 0.921544, omega: 0.00155738, max_w: 1.00068
mbar: 0.919648, omega: 0.00399548, max_w: 1.00313
mbar: 0.926443, omega: 0.0429508, max_w: 1.04296
mbar: 0.922662, omega: 0.0325789, max_w: 1.03221
mbar: 0.921546, omega: 0.00315152, max_w: 1.00228
mbar: 0.923984, omega: 0.0473957, max_w: 1.04762
mbar: 0.925654, omega: 0.0522686, max_w: 1.05273
mbar: 0.919078, omega: 0.0610473, max_w: 1.06203
mbar: 0.922493, omega: 0.065756, max_w: 1.06703
mbar: 0.921048, omega: 0.00171721, max_w: 1.00085
mbar: 0.918087, omega: 0.0022228, max_w: 1.00136
mbar: 0.925607, omega: 0.0640507, max_w: 1.06521
mbar: 0.918438, omega: 0.0721331, max_w: 1.07386
mbar: 0.922684, omega: 0.0904663, max_w: 1.09373
mbar: 0.919243, omega: 0.00410471, max_w: 1.00324
mbar: 0.919507, omega: 0.00465483, max_w: 1.00379
mbar: 0.9244, omega: 0.00826092, max_w: 1.00741
mbar: 0.917073, omega: 0.00231374, max_w: 1.00145
mbar: 0.921455, omega: 0.0592721, max_w: 1.06014
mbar: 0.923443, omega: 0.0753452, max_w: 1.07731
mbar: 0.919757, omega: 0.00371954, max_w: 1.00286
mbar: 0.917757, omega: 0.00093378, max_w: 1.00007
mbar: 0.920396, omega: 0.00178598, max_w: 1.00092
mbar: 0.921937, omega: 0.00191712, max_w: 1.00104
mbar: 0.91936, omega: 0.000970165, max_w: 1.0001
mbar: 0.918602, omega: 0.00121411, max_w: 1.00035
mbar: 0.920526, omega: 0.00134189, max_w: 1.00047
mbar: 0.919099, omega: 0.00192046, max_w: 1.00105
mbar: 0.916727, omega: 0.00173849, max_w: 1.00088
mbar: 0.917924, omega: 0.0111009, max_w: 1.01029
mbar: 0.922446, omega: 0.108397, max_w: 1.11351
mbar: 0.920958, omega: 0.000962958, max_w: 1.00009
mbar: 0.916643, omega: 0.0020247, max_w: 1.00116
mbar: 0.92179, omega: 0.00252039, max_w: 1.00165
mbar: 0.920918, omega: 0.00194547, max_w: 1.00108
mbar: 0.92248, omega: 0.000948621, max_w: 1.00007
mbar: 0.923865, omega: 0.00487438, max_w: 1.004
mbar: 0.916576, omega: 0.00117462, max_w: 1.00031
mbar: 0.918524, omega: 0.00830495, max_w: 1.00747
mbar: 0.917985, omega: 0.00177058, max_w: 1.00091
mbar: 0.918929, omega: 0.0120456, max_w: 1.01124
mbar: 0.919856, omega: 0.00330307, max_w: 1.00244
mbar: 0.923092, omega: 0.0807895, max_w: 1.08319
mbar: 0.919783, omega: 0.00119055, max_w: 1.00032
mbar: 0.919115, omega: 0.00313872, max_w: 1.00227
mbar: 0.921018, omega: 0.0290253, max_w: 1.02855
mbar: 0.921018, omega: 0.0290253, max_w: 1.02855
mbar: 0.920654, omega: 0.00370076, max_w: 1.00283
mbar: 0.920063, omega: 0.00331646, max_w: 1.00245
mbar: 0.920063, omega: 0.00331646, max_w: 1.00245
mbar: 0.920462, omega: 0.0140893, max_w: 1.01331
mbar: 0.920462, omega: 0.0140893, max_w: 1.01331
mbar: 0.920462, omega: 0.0140893, max_w: 1.01331
mbar: 0.920462, omega: 0.0140893, max_w: 1.01331
mbar: 0.919885, omega: 0.00212522, max_w: 1.00126
mbar: 0.920476, omega: 0.00520616, max_w: 1.00434
mbar: 0.919839, omega: 0.00907179, max_w: 1.00824
mbar: 0.921091, omega: 0.0355384, max_w: 1.03527
mbar: 0.921091, omega: 0.0355384, max_w: 1.03527
mbar: 0.921091, omega: 0.0355384, max_w: 1.03527
mbar: 0.921091, omega: 0.0355384, max_w: 1.03527
mbar: 0.922327, omega: 0.133175, max_w: 1.14145
mbar: 0.924634, omega: 0.177212, max_w: 1.20582
mbar: 0.924634, omega: 0.177212, max_w: 1.20582
mbar: 0.920883, omega: 0.0205236, max_w: 1.01985
mbar: 0.921315, omega: 0.00804731, max_w: 1.0072
mbar: 0.919405, omega: 0.00332391, max_w: 1.00246
mbar: 0.92109, omega: 0.00515535, max_w: 1.00429
mbar: 0.91797, omega: 0.00261679, max_w: 1.00175
mbar: 0.920746, omega: 0.0142465, max_w: 1.01347
mbar: 0.920634, omega: 0.00181022, max_w: 1.00094
mbar: 0.921259, omega: 0.023582, max_w: 1.02297
mbar: 0.919749, omega: 0.00461962, max_w: 1.00376
mbar: 0.923307, omega: 0.00119659, max_w: 1.00032
mbar: 0.919947, omega: 0.00109579, max_w: 1.00023
mbar: 0.919326, omega: 0.00205367, max_w: 1.00119
mbar: 0.922799, omega: 0.00304064, max_w: 1.00217
Progress: 14.9992%
Progress: 14.9992% completed
mbar: 0.920928, omega: 0.00380488, max_w: 1.00294
mbar: 0.91938, omega: 0.0115061, max_w: 1.01069
mbar: 0.922364, omega: 0.00189511, max_w: 1.00102
mbar: 0.920323, omega: 0.00417482, max_w: 1.00331
mbar: 0.922399, omega: 0.0200612, max_w: 1.01937
mbar: 0.921062, omega: 0.0103039, max_w: 1.00948
mbar: 0.918172, omega: 0.00156414, max_w: 1.0007
mbar: 0.922488, omega: 0.0137268, max_w: 1.01294
mbar: 0.920045, omega: 0.00570255, max_w: 1.00484
mbar: 0.920045, omega: 0.00570255, max_w: 1.00484
mbar: 0.918118, omega: 0.001065, max_w: 1.0002
mbar: 0.923055, omega: 0.00595359, max_w: 1.00509
mbar: 0.920075, omega: 0.00589182, max_w: 1.00503
mbar: 0.920963, omega: 0.0291584, max_w: 1.02869
mbar: 0.922123, omega: 0.0101099, max_w: 1.00928
mbar: 0.92067, omega: 0.0736763, max_w: 1.07552
mbar: 0.92032, omega: 0.00342859, max_w: 1.00256
mbar: 0.921043, omega: 0.0021961, max_w: 1.00133
mbar: 0.921589, omega: 0.0202765, max_w: 1.01959
mbar: 0.922463, omega: 0.123007, max_w: 1.1299
mbar: 0.922745, omega: 0.010908, max_w: 1.01008
mbar: 0.921334, omega: 0.112212, max_w: 1.11777
mbar: 0.91986, omega: 0.020918, max_w: 1.02025
mbar: 0.9199, omega: 0.012831, max_w: 1.01203
mbar: 0.921981, omega: 0.0160408, max_w: 1.01528
mbar: 0.920313, omega: 0.0148839, max_w: 1.01411
mbar: 0.920313, omega: 0.0148839, max_w: 1.01411
mbar: 0.921638, omega: 0.00587162, max_w: 1.00501
mbar: 0.919886, omega: 0.00291734, max_w: 1.00205
mbar: 0.735145, omega: 0.145999, max_w: 1.49959
mbar: 0.733582, omega: 0.150683, max_w: 1.51763
mbar: 0.919693, omega: 0.00969919, max_w: 1.00887
mbar: 0.921351, omega: 0.00968664, max_w: 1.00885
mbar: 0.918474, omega: 0.00895822, max_w: 1.00813
mbar: 0.919115, omega: 0.00654209, max_w: 1.00569
mbar: 0.918153, omega: 0.0148535, max_w: 1.01409
mbar: 0.919711, omega: 0.00975329, max_w: 1.00892
mbar: 0.920286, omega: 0.00320776, max_w: 1.00234
mbar: 0.918968, omega: 0.00828467, max_w: 1.00745
mbar: 0.920251, omega: 0.0328408, max_w: 1.03249
mbar: 0.921116, omega: 0.00255266, max_w: 1.00168
mbar: 0.922136, omega: 0.00386915, max_w: 1.003
mbar: 0.921325, omega: 0.00163358, max_w: 1.00076
mbar: 0.921195, omega: 0.00165623, max_w: 1.00078
mbar: 0.921195, omega: 0.00165623, max_w: 1.00078
mbar: 0.918501, omega: 0.00157002, max_w: 1.0007
mbar: 0.921482, omega: 0.0112704, max_w: 1.01045
mbar: 0.919649, omega: 0.0196561, max_w: 1.01896
mbar: 0.920911, omega: 0.00338271, max_w: 1.00252
mbar: 0.920911, omega: 0.00338271, max_w: 1.00252
mbar: 0.737481, omega: 0.129431, max_w: 1.44607
mbar: 0.920343, omega: 0.0123184, max_w: 1.01151
mbar: 0.919834, omega: 0.00442542, max_w: 1.00356
mbar: 0.919834, omega: 0.00442542, max_w: 1.00356
mbar: 0.919834, omega: 0.00442542, max_w: 1.00356
mbar: 0.918902, omega: 0.00144429, max_w: 1.00058
mbar: 0.918902, omega: 0.00144429, max_w: 1.00058
mbar: 0.921047, omega: 0.000910507, max_w: 1.00004
mbar: 0.920426, omega: 0.0216079, max_w: 1.02095
mbar: 0.922081, omega: 0.0224222, max_w: 1.02178
mbar: 0.921063, omega: 0.0144694, max_w: 1.01369
mbar: 0.735727, omega: 0.136249, max_w: 1.4697
mbar: 0.922324, omega: 0.0253619, max_w: 1.02479
mbar: 0.919846, omega: 0.00460341, max_w: 1.00374
mbar: 0.918303, omega: 0.0010179, max_w: 1.00015
mbar: 0.919315, omega: 0.00172077, max_w: 1.00085
mbar: 0.919629, omega: 0.00140182, max_w: 1.00053
mbar: 0.919981, omega: 0.0159961, max_w: 1.01524
mbar: 0.920541, omega: 0.0104047, max_w: 1.00958
mbar: 0.921621, omega: 0.00204243, max_w: 1.00117
mbar: 0.922351, omega: 0.12695, max_w: 1.13437
mbar: 0.919378, omega: 0.0180573, max_w: 1.01733
mbar: 0.921563, omega: 0.00370313, max_w: 1.00284
mbar: 0.921094, omega: 0.0230185, max_w: 1.02239
mbar: 0.734547, omega: 0.132298, max_w: 1.46134
mbar: 0.923488, omega: 0.0257872, max_w: 1.02522
mbar: 0.920546, omega: 0.0156484, max_w: 1.01489
mbar: 0.918985, omega: 0.0141325, max_w: 1.01335
mbar: 0.920123, omega: 0.0389706, max_w: 1.03884
mbar: 0.919442, omega: 0.0359421, max_w: 1.03569
mbar: 0.920119, omega: 0.0310965, max_w: 1.03069
mbar: 0.922383, omega: 0.0282919, max_w: 1.0278
mbar: 0.91991, omega: 0.0301196, max_w: 1.02968
mbar: 0.91991, omega: 0.0301196, max_w: 1.02968
mbar: 0.91991, omega: 0.0301196, max_w: 1.02968
mbar: 0.919629, omega: 0.0021349, max_w: 1.00127
mbar: 0.919683, omega: 0.000819507, max_w: 0.999949
mbar: 0.921923, omega: 0.0190069, max_w: 1.0183
mbar: 0.921498, omega: 0.0151218, max_w: 1.01435
mbar: 0.921939, omega: 0.0078706, max_w: 1.00702
mbar: 0.92141, omega: 0.00128151, max_w: 1.00041
mbar: 0.921129, omega: 0.0176209, max_w: 1.01689
mbar: 0.9214, omega: 0.01297, max_w: 1.01217
mbar: 0.919648, omega: 0.0261082, max_w: 1.02556
mbar: 0.919616, omega: 0.00239753, max_w: 1.00153
mbar: 0.918831, omega: 0.000875921, max_w: 1.00001
mbar: 0.921227, omega: 0.0101387, max_w: 1.00931
mbar: 0.919889, omega: 0.0538542, max_w: 1.05441
mbar: 0.922391, omega: 0.00706454, max_w: 1.00621
mbar: 0.920637, omega: 0.00203894, max_w: 1.00117
mbar: 0.735071, omega: 0.139433, max_w: 1.48054
mbar: 0.921747, omega: 0.0215059, max_w: 1.02085
mbar: 0.922198, omega: 0.019126, max_w: 1.01842
mbar: 0.921673, omega: 0.0389938, max_w: 1.03886
mbar: 0.918214, omega: 0.0361806, max_w: 1.03594
mbar: 0.922282, omega: 0.0118707, max_w: 1.01105
mbar: 0.918585, omega: 0.0307688, max_w: 1.03035
mbar: 0.92178, omega: 0.00902962, max_w: 1.00819
mbar: 0.92155, omega: 0.042855, max_w: 1.04287
mbar: 0.92093, omega: 0.0230515, max_w: 1.02243
mbar: 0.919794, omega: 0.0295689, max_w: 1.02911
mbar: 0.921221, omega: 0.00464751, max_w: 1.00378
mbar: 0.919705, omega: 0.0189225, max_w: 1.01822
mbar: 0.918814, omega: 0.0340591, max_w: 1.03375
mbar: 0.923302, omega: 0.0300252, max_w: 1.02957
mbar: 0.92124, omega: 0.0149774, max_w: 1.01421
mbar: 0.920454, omega: 0.00103682, max_w: 1.00017
mbar: 0.919105, omega: 0.00170239, max_w: 1.00083
mbar: 0.920184, omega: 0.00718472, max_w: 1.00633
mbar: 0.920184, omega: 0.00718472, max_w: 1.00633
mbar: 0.921066, omega: 0.0130496, max_w: 1.01225
