Reading in freezeout surface in CCAKE boost invariant format
u1.56108 1.1986 0.0174301
dat: -4.34682 9.67553 10.6383
u_dot_n: 4.99684
m_over_sigma: 0.00719784
Finished reading surface
Surface data read successfully.
Number of points: 136867

There are 328 mesons, 325 baryons and 325 antibaryons

Particle list read successfully.
Number of particles: 978
Sampling particles...
Progress: 0%
Progress: 0% completed
mbar: 0.924853, omega: 0.0106034, max_w: 1.00977
mbar: 0.915863, omega: 0.00779287, max_w: 1.00696
Progress: 4.99974%
Progress: 4.99974% completed
mbar: 0.921935, omega: 0.00460176, max_w: 1.00373
mbar: 0.917173, omega: 0.00701524, max_w: 1.00617
mbar: 0.917836, omega: 0.0256741, max_w: 1.02512
mbar: 0.918788, omega: 0.00121708, max_w: 1.00035
mbar: 0.922451, omega: 0.0285864, max_w: 1.0281
mbar: 0.921963, omega: 0.0403362, max_w: 1.04025
Progress: 9.99949%
Progress: 9.99949% completed
mbar: 0.925563, omega: 0.0321382, max_w: 1.03175
mbar: 0.918693, omega: 0.0466736, max_w: 1.04687
mbar: 0.918603, omega: 0.0160128, max_w: 1.01526
mbar: 0.919641, omega: 0.0106502, max_w: 1.00983
mbar: 0.919581, omega: 0.00385289, max_w: 1.00299
mbar: 0.925338, omega: 0.0422119, max_w: 1.04219
mbar: 0.91768, omega: 0.0476132, max_w: 1.04786
mbar: 0.919655, omega: 0.00259752, max_w: 1.00173
mbar: 0.920127, omega: 0.00561283, max_w: 1.00475
mbar: 0.924454, omega: 0.00337296, max_w: 1.0025
mbar: 0.9244, omega: 0.00826092, max_w: 1.00741
mbar: 0.917931, omega: 0.0023591, max_w: 1.0015
mbar: 0.917073, omega: 0.00231374, max_w: 1.00145
mbar: 0.925669, omega: 0.102149, max_w: 1.10657
mbar: 0.919757, omega: 0.00371954, max_w: 1.00286
mbar: 0.922274, omega: 0.00842407, max_w: 1.00758
mbar: 0.92318, omega: 0.000946432, max_w: 1.00007
mbar: 0.919248, omega: 0.108733, max_w: 1.1139
mbar: 0.921028, omega: 0.0928555, max_w: 1.09635
mbar: 0.923247, omega: 0.00110461, max_w: 1.00023
mbar: 0.924456, omega: 0.00165786, max_w: 1.00078
mbar: 0.920927, omega: 0.00385427, max_w: 1.00299
mbar: 0.924638, omega: 0.00343595, max_w: 1.00256
mbar: 0.921407, omega: 0.0064585, max_w: 1.0056
mbar: 0.919248, omega: 0.00349526, max_w: 1.00263
mbar: 0.924186, omega: 0.138879, max_w: 1.14825
mbar: 0.926992, omega: 0.15013, max_w: 1.16393
mbar: 0.918154, omega: 0.000934455, max_w: 1.00007
mbar: 0.921028, omega: 0.00336864, max_w: 1.0025
mbar: 0.917702, omega: 0.00139997, max_w: 1.00053
mbar: 0.920249, omega: 0.00467532, max_w: 1.00381
